CMDLINE /home/ubuntu/anaconda3/envs/sansa/bin/python experiments/memory/amazonbook/run_experiment_mrf_0_5.py
MEM 50158.011719 1683547476.7343
MEM 46937.972656 1683547476.8344
MEM 43695.453125 1683547476.9346
MEM 40497.894531 1683547477.0348
MEM 37277.855469 1683547477.1349
MEM 34072.757812 1683547477.2350
MEM 32757.839844 1683547477.3352
MEM 33145.839844 1683547477.4354
MEM 33529.839844 1683547477.5355
MEM 33913.839844 1683547477.6357
MEM 34297.839844 1683547477.7358
MEM 34675.839844 1683547477.8361
MEM 35059.839844 1683547477.9362
MEM 35445.839844 1683547478.0364
MEM 35829.839844 1683547478.1366
MEM 36213.839844 1683547478.2368
MEM 36597.839844 1683547478.3369
MEM 36983.839844 1683547478.4371
MEM 37367.839844 1683547478.5372
MEM 37751.839844 1683547478.6374
MEM 38135.839844 1683547478.7376
MEM 38521.839844 1683547478.8377
MEM 38903.839844 1683547478.9379
MEM 39287.839844 1683547479.0380
MEM 39671.839844 1683547479.1382
MEM 40055.839844 1683547479.2384
MEM 40435.839844 1683547479.3386
MEM 40819.839844 1683547479.4388
MEM 41203.839844 1683547479.5389
MEM 41587.839844 1683547479.6391
MEM 41969.839844 1683547479.7393
MEM 42355.839844 1683547479.8394
MEM 42739.839844 1683547479.9396
MEM 43123.839844 1683547480.0398
MEM 43507.839844 1683547480.1399
MEM 43891.839844 1683547480.2401
MEM 44275.839844 1683547480.3402
MEM 44659.839844 1683547480.4404
MEM 45045.839844 1683547480.5406
MEM 45427.839844 1683547480.6407
MEM 45813.839844 1683547480.7409
MEM 46193.839844 1683547480.8411
MEM 46579.839844 1683547480.9412
MEM 46963.839844 1683547481.0414
MEM 47347.839844 1683547481.1415
MEM 47731.839844 1683547481.2417
MEM 48115.839844 1683547481.3419
MEM 48499.839844 1683547481.4420
MEM 48883.839844 1683547481.5422
MEM 49267.839844 1683547481.6423
MEM 49651.839844 1683547481.7425
MEM 50037.839844 1683547481.8426
MEM 50421.839844 1683547481.9428
MEM 50805.839844 1683547482.0429
MEM 51189.839844 1683547482.1431
MEM 51573.839844 1683547482.2433
MEM 51953.839844 1683547482.3434
MEM 52335.839844 1683547482.4436
MEM 52719.839844 1683547482.5437
MEM 53103.839844 1683547482.6439
MEM 53487.839844 1683547482.7440
MEM 53871.839844 1683547482.8442
MEM 54257.839844 1683547482.9443
MEM 54643.839844 1683547483.0445
MEM 55029.839844 1683547483.1446
MEM 55415.839844 1683547483.2448
MEM 55801.839844 1683547483.3449
MEM 56189.839844 1683547483.4451
MEM 56575.839844 1683547483.5453
MEM 56961.839844 1683547483.6454
MEM 57343.839844 1683547483.7456
MEM 57725.839844 1683547483.8457
MEM 58111.839844 1683547483.9459
MEM 58497.839844 1683547484.0460
MEM 58881.839844 1683547484.1462
MEM 59267.839844 1683547484.2463
MEM 59653.839844 1683547484.3465
MEM 60039.839844 1683547484.4467
MEM 60423.839844 1683547484.5468
MEM 60809.839844 1683547484.6470
MEM 61195.839844 1683547484.7471
MEM 61581.839844 1683547484.8473
MEM 61967.839844 1683547484.9474
MEM 62353.839844 1683547485.0476
MEM 62739.839844 1683547485.1478
MEM 63125.839844 1683547485.2479
MEM 63507.839844 1683547485.3481
MEM 63893.839844 1683547485.4483
MEM 64279.839844 1683547485.5484
MEM 64591.632812 1683547485.6486
MEM 64591.632812 1683547485.7487
MEM 64591.632812 1683547485.8489
MEM 64591.632812 1683547485.9490
MEM 64591.632812 1683547486.0492
MEM 64591.632812 1683547486.1493
MEM 64591.632812 1683547486.2495
MEM 64591.632812 1683547486.3497
MEM 64591.632812 1683547486.4498
MEM 64591.632812 1683547486.5500
MEM 64591.632812 1683547486.6501
MEM 64591.632812 1683547486.7503
MEM 64591.632812 1683547486.8504
MEM 64591.632812 1683547486.9506
MEM 64591.632812 1683547487.0508
MEM 64591.632812 1683547487.1509
MEM 64591.632812 1683547487.2511
MEM 64591.632812 1683547487.3512
MEM 64591.632812 1683547487.4514
MEM 64591.632812 1683547487.5515
MEM 64591.632812 1683547487.6517
MEM 64591.632812 1683547487.7518
MEM 64591.632812 1683547487.8520
MEM 64591.632812 1683547487.9521
MEM 64591.632812 1683547488.0523
MEM 64591.632812 1683547488.1524
MEM 64591.632812 1683547488.2526
MEM 64591.632812 1683547488.3528
MEM 64591.632812 1683547488.4530
MEM 64591.632812 1683547488.5531
MEM 64591.632812 1683547488.6533
MEM 64591.632812 1683547488.7534
MEM 64591.632812 1683547488.8536
MEM 64591.632812 1683547488.9537
MEM 64591.632812 1683547489.0539
MEM 64591.632812 1683547489.1540
MEM 64591.632812 1683547489.2542
MEM 64591.632812 1683547489.3543
MEM 64591.632812 1683547489.4545
MEM 64591.632812 1683547489.5547
MEM 64591.632812 1683547489.6548
MEM 64591.632812 1683547489.7550
MEM 64591.632812 1683547489.8551
MEM 64591.632812 1683547489.9553
MEM 64591.632812 1683547490.0554
MEM 64591.632812 1683547490.1556
MEM 64591.632812 1683547490.2558
MEM 64591.632812 1683547490.3559
MEM 64591.632812 1683547490.4561
MEM 64591.632812 1683547490.5563
MEM 64591.632812 1683547490.6564
MEM 64591.632812 1683547490.7566
MEM 64591.632812 1683547490.8567
MEM 64591.632812 1683547490.9569
MEM 64591.632812 1683547491.0570
MEM 64591.632812 1683547491.1572
MEM 64591.632812 1683547491.2573
MEM 64591.632812 1683547491.3575
MEM 64591.632812 1683547491.4577
MEM 64591.632812 1683547491.5578
MEM 64591.632812 1683547491.6580
MEM 64591.632812 1683547491.7581
MEM 64591.632812 1683547491.8583
MEM 64591.632812 1683547491.9584
MEM 64591.632812 1683547492.0586
MEM 64591.632812 1683547492.1587
MEM 64591.632812 1683547492.2589
MEM 64591.632812 1683547492.3590
MEM 64591.632812 1683547492.4592
MEM 64591.632812 1683547492.5594
